id	total	mutual	mutualT	single	singleT
15258582	27	20	9	7	1
15258581	31	17	8	14	7
72995878	212	62	14	150	5
49816144	31	23	4	8	2
112365894	19	19	5	0	0
156710581	39	24	8	15	5
9630822	47	37	12	10	1
85511815	27	17	1	10	2
31435624	143	117	25	26	5
139877951	12	9	1	3	0
117572280	31	12	4	19	6
73890568	309	262	34	47	9
181341759	28	13	3	15	1
96067565	4056	3719	318	337	16
14277701	49	32	9	17	11
78998389	1126	317	57	809	83
18178581	689	649	77	40	4
29840918	21	19	1	2	0
29740919	24	15	2	9	2
70536438	24	8	1	16	6
15609285	28	25	5	3	1
28245772	59	14	1	45	2
20855952	15	9	4	6	2
83302102	95	17	2	78	17
16017221	45	34	10	11	2
20622594	163	118	22	45	7
56487886	12	11	5	1	0
45297409	19	8	1	11	2
29506676	40	33	14	7	2
14796495	14	5	2	9	3
21330571	35	20	4	15	6
55632195	18	7	2	11	5
14802434	86	51	11	35	1
65135271	1455	1247	98	208	8
172509684	58	40	11	18	3
165930775	18	8	2	10	2
16518253	29	20	6	9	4
7945612	59	41	21	18	8
252750095	41	20	1	21	3
166448893	20	16	2	4	0
239931583	56	22	13	34	9
111110663	13	8	2	5	0
156821456	1259	1208	95	51	7
69942021	48	33	10	15	6
65174518	49	26	4	23	3
57482558	153	147	20	6	0
230413822	19	10	2	9	0
147639909	74	60	12	14	2
23962031	19	11	4	8	2
18035142	27	15	4	12	2
79312296	11	8	2	3	1
34822796	353	288	35	65	21
88016158	37	10	5	27	13
231499045	22	12	1	10	2
125244231	28	15	1	13	1
14098555	181	131	37	50	10
65363660	23	9	5	14	3
52560280	33	13	5	20	7
77067134	21	12	2	9	2
27546767	12	5	4	7	2
30893681	15	15	1	0	0
129430097	66	47	5	19	2
21162452	29	9	2	20	2
64432253	27	21	5	6	0
22778534	47	17	3	30	6
32942413	75	55	6	20	2
119101947	19	19	1	0	0
56031519	223	60	4	163	9
15982499	15	11	2	4	0
106309081	90	55	17	35	12
18178558	13	11	2	2	0
24749608	19	17	7	2	0
57687059	16	7	1	9	2
28896648	21	16	3	5	4
24270561	61	36	5	25	5
251896842	53	52	1	1	0
53224413	23	22	1	1	1
20269833	5025	795	106	4230	320
70775256	31	12	2	19	4
